V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V
27.5617;-12.0782;-18.4092;23.9994;8.7557;-25.3832;6.9977;24.5073;-16.5175;-12.8777;25.2876;2.6795;-24.2755;12.3647;20.3897;-19.6963;-7.79175;26.7121;-3.1302;-21.9016;16.8121;15.9256;-21.6981;-1.84542;23.3233;-8.39434;-18.3746;20.3991;10.6908;-22.7338;3.66167;23.4287;-12.5149;-13.7582;22.4509;5.36812;-22.2633;8.64352;20.2581;-16.7061;-9.48799;23.8227;0.123328;-20.589;13.1124;16.4447;-18.5373;-3.86967;23.6158;-4.74248;-18.1582;16.5347;12.2766;-19.9038;0.597814;21.8006;-8.77345;-14.5958;19.0957;7.66205;-19.8295;5.20341;20.4925;-12.6864;-10.8491;20.6158;3.02206;-19.1885;9.28391;16.9275;-13.6531;-6.53259;20.999;-1.40901;-17.2838;12.8423;13.4768;-16.6918;-2.12971;18.6893;-5.45653;-14.7882;15.6184;9.56747;-17.4164;2.03564;18.9626;-8.649;-11.3675;17.2834;5.60078;-17.2099;5.82666;16.7107;-11.8851;-8.30817;18.4812;1.69103;-16.1371;9.23595;14.0096;-13.4237;-4.03613;18.5389;-1.96245;-14.5478;11.9194;11.0799;-6.24297;1.92781;-1.47465;-73.4362;40.0602;57.8516;-67.5091;-20.3404;80.6492;-19.1943;-70.739;58.2534;43.4743;-77.3581;-0.772099;80.3564;-38.3404;-53.9338;72.8845;25.3375;-83.5166;20.123;75.9101;-56.8854;-44.3433;81.5917;4.70788;-82.9628;37.3429;66.133;-72.3296;-26.0713;88.7581;-16.973;-78.166;59.9766;49.4926;-81.8299;-4.63551;89.6496;-38.6714;-66.821;75.7421;32.0486;-91.6831;18.2118;84.8199;-58.7351;-52.0774;87.7544;9.1766;-83.147;41.063;73.9609;-76.7147;-32.1914;96.047;-14.3633;-86.3698;60.8865;56.8093;-89.1328;-9.5894;97.6759;-37.6378;-75.226;82.4868;38.5217;-98.6761;14.8701;93.0055;-60.413;-59.2889;94.0376;13.4102;-100.651;39.4797;83.2695;-79.3871;-39.4626;103.409;-10.5706;-93.983;61.3038;66.4139;-94.7518
-15.7185;106.386;-36.653;-85.5219;83.7992;45.738;-104.469;10.6034;102.258;-59.6519;-67.5237;99.0819;21.1545;-108.008;36.9059;91.4012;-84.6256;-48.4994;111.391;-5.85498;-104.609;62.903;75.0833;-92.3758;-20.3575;115.47;-33.4842;-95.5925;85.1889;54.338;-111.294;5.22206;109.901;-58.591;-78.4069;103.76;28.5565;-115.121;33.4684;105.082;-85.0198;-57.4809;116.718;0.0588106;-114.543;60.6885;79.9574;-93.6418;-30.7665;122.393;-29.6748;-104.745;86.3189;63.9487;-116.557;-1.14813;118.176;-58.0289;-88.929;106.93;36.6908;-122.503;30.1326;113.804;-85.4063;-66.8263;121.482;7.0272;-121.679;55.0961;87.5138;-107.248;-39.3867;130.549;-24.381;-114.915;86.7231;73.6998;-113.554;-7.77216;131.294;-55.4596;-100.014;109.39;46.269;-131.46;23.6136;120.374;-81.9982;-76.7445;126.925;14.9886;-131.161;55.164;110.136;-109.867;-49.7008;137.369;-18.1738;-125.768;84.4509;78.8502;-35.2628;12.4714;0.343019;1.2047;1.17436;1.23255;1.31794;1.1664;1.80092;0.990931;-7.97794;5.9402;7.67887;-7.00022;-1.20006;10.703;-1.40381;-6.97348;7.70142;5.65041;-7.79141;1.13894;9.27633;-3.03894;-5.34458;8.92965;3.45217;-7.83563;3.39867;8.84372;-5.12275;-3.27053;9.40635;1.14489;-6.58937;5.45875;7.30568;-6.40178;-1.19471;9.69659;-1.03389;-6.31086;6.95894;5.33086;-7.00142;1.00222;9.23521;-2.94322;-4.8055;8.45123;3.40184;-7.23693;3.11988;8.24224;-4.58902;-3.02185;8.34552;1.22336;-6.77488;4.99826;6.8926;-5.70197;-1.08263;9.02877;-0.783145;-5.64799;6.40346;5.11526;-6.36016;0.959667;8.52328;-2.56499;-4.56136;7.7311;3.23904;-6.48729;2.91486;7.70598;-4.019;-2.47833;7.58165;1.24455;-6.05863;4.6907;6.36473;-5.138;-0.895687;8.32402;-0.619363;-5.03023;6.07386;4.77088
-5.81348;1.00875;8.03148;-2.34033;-3.94709;7.11357;2.98377;-5.85078;2.82621;7.00253;-3.59459;-2.34435;7.6847;1.1491;-5.37752;4.41327;6.01248;-4.75703;-0.646591;7.77091;-0.600305;-4.61238;5.69653;4.0602;-4.60885;1.14641;7.34949;-2.17762;-3.38091;6.67227;2.68745;-5.21875;2.80211;6.3833;-3.39029;-1.91985;7.15084;0.972511;-4.76406;4.41793;5.39504;-4.33671;-0.297567;7.15767;-0.658295;-3.9376;5.10945;3.62413;-4.76596;1.36108;6.78799;-2.07137;-2.83785;6.33557;2.31541;-4.60312;2.87889;5.91173;-3.20897;-1.43571;6.66456;0.72227;-4.4107;4.33434;4.82715;-3.98148;0.101152;6.68955;-0.762812;-3.0385;4.94363;3.42774;-4.31391;1.65312;6.19791;-2.08487;-2.29944;6.04096;1.82387;-3.73397;3.12085;5.3749;-3.12243;-0.929902;6.34737;0.395353;-3.72114;4.28837;4.15664;-3.72629;0.53606;6.22598;-0.985596;-2.8425;5.42059;2.91595;-4.0491;2.00758;5.69582;-0.546059;-3.45179;2.32373;1.16691;1.30302;1.31597;1.28679;1.22453;1.25866;1.47316;1.26027;1.15126;1.82059;-14.8685;9.35064;12.7611;-12.8392;-3.22393;17.709;-2.81925;-13.0262;12.0765;9.32976;-13.9303;0.580845;14.8372;-5.36452;-10.264;13.8913;5.77205;-13.8306;4.12793;14.3762;-8.56906;-6.89008;14.4953;2.06853;-11.6497;7.26364;11.912;-10.4534;-3.69637;14.8689;-1.1447;-11.2999;9.49357;8.86166;-11.288;-0.411234;14.128;-3.96505;-9.03257;11.6491;6.08673;-11.6164;2.65815;12.6747;-6.3208;-6.46631;11.2873;2.80895;-10.97;5.3146;10.8108;-7.89771;-3.80558;12.5008;0.193685;-9.42474;7.28201;8.41027;-8.83253;-1.07024;11.8732;-2.21013;-8.12371;9.05625;6.01859;-9.07622;1.47234;10.9166;-4.12349;-5.20369;8.97317;3.52241;-8.6391;3.69719;9.34023;-5.56957;-3.61023;10.005;1.21112;-7.48478;5.42319;7.54312
-6.46429;-1.42035;9.80367;-0.761541;-6.4161;6.69194;5.59771;-6.63832;0.606515;8.77013;-2.24348;-4.75616;7.42192;3.67876;-6.26991;2.32158;7.94162;-3.48264;-3.1335;7.64224;1.92365;-5.65715;3.65236;5.86057;-3.54796;-1.45654;7.37847;0.441542;-4.62853;4.61448;4.9355;-4.17867;0.0706886;6.62765;-0.681108;-3.47335;5.11242;3.51445;-3.91175;1.2892;5.98481;-1.46496;-2.27178;5.20488;2.32161;-3.3762;2.07189;4.55685;-1.83078;-1.13235;5.0131;1.34897;-2.71027;2.74508;3.94606;-1.77903;-0.148196;4.50274;0.682061;-1.91157;2.94362;3.05422;-1.6527;0.523598;3.94087;0.328229;-1.14204;2.89654;2.36835;-0.941461;0.958686;3.29263;0.269862;-0.52403;2.60157;1.94181;-0.635363;1.09161;2.54665;0.503362;-0.0950743;2.1939;1.77278;-0.140174;0.97723;2.31288;0.794676;0.111612;1.73787;1.85127;0.228047;0.668741;2.12504;1.20264;-0.0134463;1.40179;2.17328;1.00163;1.18866;1.25019;1.40941;1.21364;1.13748;1.15508;1.30224;1.18759;1.01741;0.812868;-0.0225884;-0.540351;-2.00275;-25.7351;59.6865;-11.9533;-51.4244;41.3426;32.7121;-58.2237;-1.1492;61.1969;-27.6891;-43.7671;53.7069;19.0236;-55.3441;13.8679;57.2739;-42.1647;-32.758;62.1739;3.26762;-61.9204;31.5282;47.8678;-53.1175;-16.2237;60.7403;-14.0402;-57.7964;47.1155;36.6746;-63.4825;-1.24581;67.368;-30.5023;-48.0611;59.4993;21.5153;-68.5485;16.6116;62.6675;-48.3896;-37.2723;70.0825;3.90816;-68.8801;34.8462;53.7747;-54.6483;-18.6783;75.3279;-14.9528;-65.1121;51.3491;41.3584;-70.7198;-2.37686;73.8876;-32.9254;-55.2867;65.6842;24.743;-75.5153;17.1279;72.7;-52.0264;-42.4053;76.4761;5.5595;-77.1725;36.5237;55.4347;-59.6845;-24.8397;82.3315;-15.0897;-72.2333;55.2998;47.1824;-77.1058;-4.5011;81.1789;-35.4516;-62.6515
71.9253;29.2086;-84.922;16.9141;79.2772;-54.9161;-48.1163;83.35;8.31687;-83.7516;37.573;68.5341;-71.6325;-29.4916;89.356;-13.8951;-83.153;59.5555;54.4362;-84.48;-7.88035;91.9734;-36.0912;-63.5473;68.7082;34.9003;-91.8635;15.4764;87.158;-57.7306;-55.4024;89.2434;11.9903;-91.3535;38.7465;77.1046;-76.0596;-35.1108;96.7108;-12.3916;-90.7804;61.7951;61.5605;-90.0718;-12.3473;98.7778;-32.8061;-71.2259;81.1879;41.0303;-99.9288;12.7754;96.0808;-59.8821;-62.9895;93.8559;16.7307;-101.767;38.3238;85.7908;-79.3271;-41.8759;108.271;-9.00268;-99.7189;62.7731;69.4794;-96.4336;-17.5274;98.0508;-31.7549;-89.2022;84.0154;48.69;-106.477;9.06647;105.692;-60.483;-64.7662;91.0552;23.3681;-110.834;36.8009;95.2045;-83.0756;-50.3893;111.994;-4.47565;-105.227;62.7532;78.9301;-101.101;-24.1237;115.889;-34.096;-99.4617;39.3282;-0.59631;1.04906;1.10618;1.38302;1.23652;1.10967;1.0419;0.751899;0.210392;-1.03276;-1.45194;-11.9762;-25.0779;-39.4581;-279.713;1069.38;-387.909;-872.965;831.977;442.689;-1099.21;103.843;1032.26;-625.594;-697.128;989.444;194.797;-979.103;326.61;913.99;-825.608;-483.775;1074.33;-67.4547;-1043.16;602.242;721.987;-955.682;-207.894;993.426;-335.008;-932.448;818.08;518.03;-1076.9;36.3421;1060.57;-569.294;-747.115;972.31;269.318;-1111.87;301.75;951.154;-819.018;-560.494;1096.21;0.305136;-1079.11;559.887;790.116;-871.65;-273.273;1138.32;-271.966;-993.201;780.401;590.159;-1086.14;-33.1379;1085.46;-517.813;-828.299;962.197;342.317;-1125.72;239.601;1046.09;-772.525;-632.167;1090.11;71.1748;-1125.61;499.883;781.079;-855.289;-381.763;1149.01;-208.665;-1039.23;743.71;665.112;-1079.67;-103.999;1114.35;-475.21;-897.478
952.451;419.777;-1168.54;176.592;1078.09;-722.814;-698.706;1089.66;145.399;-1139.63;440.771;929.356;-929.62;-454.979;1156.18;-137.904;-1126.53;714.256;746.661;-1084.96;-181.228;1182.85;-414.007;-864.941;824.2;501.347;-1171.79;106.642;1119.71;-677.927;-774.334;1074.92;218.898;-1162.23;389.348;996.989;-898.632;-528.427;1164.54;-69.1722;-1159.1;663.881;813.476;-1066.65;-260.918;1191.4;-320.267;-920.38;894.04;575.268;-1186.17;31.8652;1166.32;-629.829;-841.49;1045.91;294.712;-1213.78;325.676;1055.37;-857.301;-605.023;1217.9;8.77037;-1200.94;605.173;879.379;-1057.31;-335.669;1107.94;-259.256;-1094.54;848.772;657.561;-1180.4;-45.571;1213.46;-570.26;-822.622;939.487;387.247;-1242.32;256.849;1113.64;-824.144;-692.903;1179.41;86.2216;-1196.97;542.231;953.823;-1030.03;-418.742;1238.61;-222.805;-1157.46;453.277;-8.0063;-2.68376;-0.0397322;1.03575;1.12224;1.19806;1.2028;1.32745;1.27537;1.13617;1.17848;1.24413;1.25266;1.17487;1.67667;0.998296;14.807;-5.68615;-8.95372;12.8644;5.30813;-12.9615;4.10378;13.4345;-8.00418;-6.49419;13.8363;2.00084;-10.8784;6.89884;11.4611;-9.87389;-3.64533;14.3418;-0.856111;-11.0154;9.04819;8.90645;-9.74678;-0.56791;14.1554;-3.57353;-9.42507;11.0241;6.49404;-11.5049;2.09558;12.8825;-5.74932;-7.21861;12.316;3.76412;-11.2374;4.706;11.958;-7.94393;-4.9278;13.0208;1.05479;-10.6884;7.0001;8.88447;-8.15641;-2.34175;13.0687;-1.52806;-9.42404;9.01314;7.61751;-9.97663;0.274781;12.2917;-3.80115;-7.80973;10.4739;5.20102;-10.1552;2.78496;11.7568;-5.86138;-5.87312;11.4129;2.8266;-9.86592;4.59544;9.2694;-7.40713;-3.69054;11.9607;0.454172;-9.26485;6.99041;8.45076;-8.24607;-1.36731;11.7946;-1.76069
-8.22516;8.6101;6.58587;-9.06453;0.819792;11.3397;-3.73753;-6.65613;9.77881;4.3756;-8.9446;2.96173;10.4284;-5.3973;-4.823;10.4736;2.35033;-9.05013;4.97583;9.1763;-6.68635;-2.97557;10.78;0.321521;-7.25096;6.68769;7.61107;-7.68492;-0.972798;10.8331;-1.6955;-7.1387;7.89996;5.75302;-8.11359;0.999839;10.3599;-3.37236;-5.76566;9.31693;4.08378;-8.39232;2.89357;9.53363;-4.90158;-4.23291;8.86245;2.04773;-8.12974;4.62625;8.50592;-6.05033;-2.62659;10.1355;0.340806;-7.30955;6.02343;7.0987;-6.92163;-0.875039;10.0051;-1.36553;-6.80807;7.53208;5.67087;-7.47335;0.884036;9.76975;-2.91447;-4.78588;7.67356;4.02258;-7.65043;2.60657;9.08239;-4.34872;-4.14187;9.13588;2.17677;-6.63706;4.24113;8.17929;-5.54402;-2.6382;9.56938;0.631369;-7.07411;5.59096;6.87473;-6.36585;-1.05935;9.6701;-0.981474;-6.31651;7.13087;5.7627;-1.10693;1.46273;1.22266;1.23557;1.27937;1.19606;1.16329;1.2705;1.18322;1.30243;1.30154;1.24386;1.1695;1.28605;1.16138;1.15842;1.17998;1.31237;3.43185;-0.417586;-0.503044;1.71032;1.36058;-0.313932;11.8812;-3.00005;-7.46522;9.41264;4.85649;-8.29189;2.28184;10.9141;-5.04876;-5.48656;10.5173;2.88053;-9.08177;4.48178;9.28159;-5.76612;-2.86717;11.038;0.506083;-8.38246;6.48344;7.72121;-7.6008;-1.03613;10.6218;-1.60392;-7.04343;8.0173;5.712;-7.97702;1.18865;10.4142;-3.61617;-5.55429;9.08604;3.59548;-8.0517;3.2305;8.21852;-4.41762;-3.68483;9.61149;1.51194;-7.49033;5.06638;7.64275;-6.08042;-1.63696;9.43981;-0.444305;-6.56561;6.5213;5.90683;-6.61337;0.24503;9.37779;-2.21325;-5.31059;7.5667;4.1702;-6.72771;1.99205;7.68528;-3.63459;-3.78932;8.26819;2.35295;-6.54515;3.7522;7.32663;-4.53954;-2.0745;8.40405;0.637272
-5.97702;5.11822;6.07164;-5.32801;-0.511047;8.26632;-0.907205;-4.96656;6.13359;4.48443;-5.4303;1.08975;7.74611;-2.20358;-3.72152;6.76896;3.10069;-5.60619;2.54948;6.94681;-3.20171;-2.4663;7.07738;1.5208;-4.45207;3.78661;5.90739;-3.93921;-1.09808;7.16067;0.248984;-4.41016;4.66124;4.65666;-4.25987;0.218599;6.85936;-0.877917;-3.50866;5.54933;3.59078;-4.42055;1.43577;6.31214;-1.82729;-2.51854;5.31365;2.22961;-4.21692;2.49435;5.64051;-2.49308;-1.52434;5.98514;1.28223;-3.67065;3.29857;4.76196;-2.93017;-0.492317;5.82954;0.328582;-3.30826;4.05839;3.92596;-3.14002;0.47281;5.603;-0.458106;-2.13418;4.09057;3.02866;-3.12385;1.33197;5.1533;-1.10182;-1.78669;4.69219;2.05031;-2.52821;2.06715;4.6334;-1.56632;-1.04282;4.77681;1.42814;-2.63905;2.60837;3.97761;-1.82127;-0.349169;4.70741;0.785205;-2.23581;3.13862;3.51143;-0.386414;1.32392;1.27033;1.1825;1.23431;1.13017;1.20604;1.18337;1.2038;1.48272;1.42487;1.19331;1.1834;1.18577;1.30576;1.18345;1.1627;1.27867;1.58173;0.999468;1.17939;1.09835;1.1669;0.930977;3.19655;0.215628;-0.496023;2.78221;1.74013;-0.729222;1.44109;2.96517;-0.162754;-0.0798255;2.9621;1.34525;-0.835062;1.85126;2.60899;-0.270754;0.430793;3.01975;0.886908;-0.655126;2.21755;2.27788;-0.583821;0.81174;2.891;0.495545;-0.359871;2.47701;1.8709;-0.610227;1.2332;2.8078;0.137681;-0.0409845;2.63755;1.45886;-0.574574;1.60448;2.34797;0.0204513;0.334325;2.68767;1.06889;-0.422372;1.92467;2.21033;-0.244931;0.721289;2.60346;0.720791;-0.206942;2.15616;1.86553;-0.293949;1.0761;2.54453;0.423705;0.0592521;2.30106;1.53628;-0.263029;1.3511;2.19082;0.205759;0.358747;2.37615;1.21125;-0.177349;1.66011;2.09292;0.0902705;0.670847;2.34517;0.922636
-0.0275173;1.86116;1.84528;0.00677121;0.950495;2.26868;0.682354;0.185363;1.98775;1.55855;0.0414716;1.2079;2.13103;0.501404;0.422235;2.04043;1.32395;0.0720964;1.42701;1.95716;0.384236;0.648063;2.03472;1.07904;0.289122;1.58875;1.75878;0.320486;0.868998;1.99387;0.903218;0.353144;1.67471;1.54582;0.326699;1.06162;1.89599;0.767955;0.520502;1.75954;1.38143;0.361241;1.21813;1.77197;0.676415;0.683132;1.6592;1.193;0.442392;1.33107;1.64465;0.636481;0.828481;1.70591;1.09105;0.554693;1.39041;1.50829;0.635082;0.953445;1.63462;1.00389;0.640708;1.43724;1.40025;0.664219;1.04713;1.5661;0.954628;0.775597;1.38155;1.30829;0.713961;1.1078;1.48743;0.937329;0.828119;1.40102;1.21673;0.794819;1.13718;1.42185;0.945056;0.88536;1.36514;1.21236;0.821416;1.13461;1.36482;0.969821;0.914046;1.32705;1.20513;0.858581;1.12378;1.35781;1.09245;1.13199;1.29914;1.13348;1.1751;1.11806;1.21813;1.16114;1.24714;1.24576;1.25054;1.12057;1.16158;1.24733;1.32444;1.30379;1.14099;1.23594;1.4333;1.30424;1.073;1.16162;1.24293;1.10795;1.08813;-0.0978861;1.83448;1.91872;0.0594718;0.922574;2.39527;0.621115;0.0925337;2.14286;1.56653;-0.177567;1.34099;2.24825;0.269668;0.469716;2.20463;1.15017;-0.161108;1.75881;2.03915;-0.0392461;0.791373;2.43266;0.720104;0.0108108;2.10772;1.70479;-0.219566;1.22334;2.374;0.284494;0.239092;2.39986;1.29452;-0.271195;1.66937;2.19234;0.0700229;0.657412;2.55522;0.84266;-0.201406;2.07665;1.90998;-0.302188;1.05189;2.53518;0.406398;0.0258635;2.41967;1.51178;-0.417137;1.51718;2.49155;-0.0379889;0.348987;2.66385;1.04799;-0.430893;1.97455;2.06713;-0.211453;0.785905;2.77068;0.551538;-0.276686;2.40792;1.82942;-0.58147;1.27688;2.69224;0.0767465;0.00807051
2.76544;1.36216;-0.700432;1.80376;2.57165;-0.359357;0.414813;2.97424;0.834857;-0.596163;2.27092;2.23394;-0.698463;0.917672;3.02336;0.29491;-0.456798;2.7728;1.8032;-0.915716;1.47726;2.96819;-0.219331;0.0595783;2.85532;1.25702;-0.971636;2.0622;2.72007;-0.693076;0.422151;3.28847;0.664395;-0.818164;2.59675;2.33058;-1.03914;1.00201;3.31897;0.0207846;-0.621836;3.10297;1.81246;-1.24153;1.63753;3.1908;-0.356596;-0.0430246;3.46141;1.19335;-1.30377;2.27831;2.92748;-1.02959;0.385372;3.59662;0.53419;-1.13955;2.88517;2.46833;-1.37134;1.03862;3.75871;-0.174874;-0.850359;3.41098;1.87348;-1.61647;1.73926;3.24266;-0.594449;-0.352692;3.79221;1.18183;-1.63548;2.46719;3.18841;-1.3314;0.369719;3.67512;0.42417;-1.47022;3.1511;2.66095;-1.7453;1.02595;4.02907;-0.302025;-1.04796;3.69894;1.99588;-1.97342;1.81116;3.82846;-1.09412;-0.578768;3.0388;0.781019;1.15927;1.20375;1.24913;1.18638;1.19808;1.23389;1.20762;1.37885;1.20455;1.21653;1.17525;1.25297;1.30315;1.13955;1.20725;1.21255;1.26558;1.17606;1.30227;1.11851;0.832537;1.19983;1.11082;-12.6613;8.27086;10.9752;-9.68902;-2.19942;15.1176;-2.28436;-10.93;10.5383;8.12047;-11.8099;0.737745;13.7545;-4.91456;-7.40565;10.8405;5.01277;-11.6764;3.81141;12.3376;-7.24282;-5.74119;12.7726;1.87413;-10.5063;6.37576;10.1798;-8.69071;-2.79462;12.6434;-0.992032;-9.49053;8.51658;7.70206;-9.39375;-0.00681067;11.8839;-2.86138;-6.4513;9.89048;5.05587;-9.50546;2.58618;10.7298;-5.24604;-5.11213;10.3203;2.44168;-8.76255;4.79553;8.96871;-6.42506;-2.71723;10.8162;0.117123;-7.74246;6.52498;6.93805;-7.17018;-0.421545;8.98428;-1.54519;-6.14896;7.66887;4.85714;-7.18816;1.66669;8.98199;-3.38812;-4.17936;8.05767;2.75971;-6.71191
