V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V;V
96.9285;-48.8098;-71.1612;84.8171;27.9655;-98.0386;22.2257;86.3522;-65.4886;-52.2143;91.7504;5.66011;-93.6033;42.0955;71.8804;-77.8545;-31.5951;93.557;-15.6984;-84.5689;58.6918;54.513;-85.5067;-10.5019;90.4606;-35.0382;-71.7025;71.3431;35.3526;-88.3404;9.92268;82.9216;-51.4632;-55.9162;79.6276;15.5159;-86.5079;28.6504;71.6278;-64.2995;-38.2303;83.3949;-3.91069;-80.4122;44.8103;57.4159;-73.1206;-19.694;82.7587;-21.9476;-70.6627;57.7445;41.2231;-77.7443;-1.32217;78.0547;-37.7629;-58.0158;67.0138;24.0204;-78.2335;15.9548;69.8135;-50.7015;-43.3263;72.4054;6.76036;-74.8585;31.3337;58.7157;-60.3297;-27.4884;73.9452;-9.68673;-68.0898;44.1933;45.5369;-66.403;-11.391;71.8464;-24.5521;-58.5257;54.0791;31.0995;-68.9107;4.14927;66.5;-37.2303;-46.8604;60.7466;16.2117;-68.015;18.4181;58.4406;-47.2812;-33.8408;64.1382;1.63876;-64.0466;30.8277;48.2869;-54.4497;-20.2087;64.3805;-11.9532;-57.4666;40.9571;36.7058;-58.5766;7.20258;-13.9876;-273.801;140.248;203.836;-246.394;-77.8232;288.879;-70.5084;-254.418;202.823;151.947;-282.586;-6.84232;288.626;-141.867;-217.251;255.475;87.2934;-302.189;68.4038;269.472;-207.744;-163.923;294.245;13.5545;-303.119;143.126;231.796;-263.514;-97.1715;315.912;-64.8492;-284.428;212.418;177.18;-305.059;-20.7264;318.252;-143.017;-246.411;271.472;108.416;-329.002;60.858;300.226;-215.831;-190.672;315.985;29.3299;-332.957;142.501;262.062;-278.302;-120.015;342.391;-55.4095;-315.811;218.929;205.361;-325.953;-38.3663;348.209;-140.574;-277.722;284.98;132.959;-355.064;49.5041;332.168;-220.712;-220.242;335.955;48.8283;-362.955;138.217;294.353;-290.459;-146.229;367.953;-42.1286;-348.234;222.125;236.276;-344.92
-59.7263;378.135;-134.392;-310.911;295.691;160.807;-380.01;34.2724;364.971;-222.148;-252.432;353.809;72.0358;-392.705;130.095;328.351;-299.648;-175.666;392.19;-24.9435;-381.326;221.757;269.674;-361.572;-84.7492;407.612;-124.312;-345.637;303.286;191.785;-403.433;15.1304;398.241;-219.908;-286.967;369.179;98.8547;-421.811;118.028;363.725;-305.582;-208.14;414.711;-3.84398;-414.695;217.605;305.272;-375.566;-113.337;436.242;-110.231;-381.553;307.482;225.689;-424.945;-7.91647;431.589;-213.799;-323.552;381.719;129.169;-449.866;101.927;400.095;-307.987;-243.411;435.126;21.1315;-447.927;209.499;342.754;-386.581;-145.329;463.627;-92.1056;-418.287;308.046;262.263;-444.171;-34.802;464.615;-203.681;-361.86;391.123;162.809;-476.482;81.7568;437.096;-306.635;-281.229;453.08;49.9132;-480.641;197.328;381.817;-394.315;-180.578;489.387;-69.8905;-455.481;304.747;301.26;-460.562;87.3988;-14.7378;1.45645;1.40507;1.15257;1.36188;2.43378;3.7443;6.89524;-33.4233;17.5585;24.4956;-29.7229;-8.74529;34.3383;-8.65098;-29.3532;23.9985;17.1354;-32.3378;-0.0823459;32.4803;-16.3077;-23.5654;28.6314;8.99696;-32.7545;8.22298;28.6187;-22.5755;-16.5007;31.2248;0.639146;-31.0319;15.6443;23.0848;-27.1028;-8.6679;31.6911;-7.38725;-27.3587;21.7302;16.299;-29.6566;-0.607111;30.0767;-14.5677;-22.0546;26.1348;8.75697;-30.1475;7.14226;26.5709;-20.4631;-15.5314;28.6313;0.987118;-28.6233;14.0789;21.4795;-24.7322;-8.26949;29.1298;-6.48787;-25.2646;19.7753;15.2032;-27.1562;-0.78133;27.6759;-13.1799;-20.3653;23.8988;8.2063;-27.6434;6.42388;24.4413;-18.6712;-14.3194;26.2345;0.991948;-26.24;12.8693;19.7185;-22.6378;-7.5749;26.6937;-5.94803;-23.1124;18.1505;13.8817
-24.8706;-0.620515;25.3191;-12.1491;-18.5404;21.9503;7.37379;-25.2829;6.06041;22.2749;-17.2151;-12.8956;24.0661;0.669479;-23.9184;12.0176;17.8366;-20.8393;-6.60878;24.4151;-5.75965;-20.9376;16.8649;12.3659;-22.8271;-0.142296;23.0428;-11.4765;-16.6133;20.308;6.28345;-23.0973;6.043;20.107;-16.1038;-11.297;22.1528;0.0426113;-21.6966;11.5222;15.8737;-19.3558;-5.40211;22.3289;-5.90949;-18.7845;15.9269;10.6942;-21.0479;0.625713;20.8832;-11.1528;-14.6251;18.9833;4.97055;-21.116;6.35214;17.9771;-15.3383;-9.56081;20.515;-0.861936;-19.6078;11.3706;13.8687;-18.1946;-3.98947;20.46;-6.3756;-16.6894;15.3357;8.90303;-19.5566;1.65986;18.876;-11.1725;-12.6143;17.9901;3.46711;-19.3704;6.97276;15.9243;-14.9233;-7.72334;19.1762;-2.01989;-17.6908;11.5592;11.8626;-17.3728;-2.40268;18.8417;-7.14333;-14.6869;15.096;7.02657;-18.3729;2.93552;17.0533;-11.2018;-18.2801;12.8139;1.92028;2.25973;2.69702;2.54891;2.92312;3.1089;3.47827;2.58175;3.10756;3.82754;-59.2508;30.3726;43.4506;-51.8082;-16.3034;59.8122;-13.9787;-51.699;40.4059;30.8659;-55.3038;-2.08091;56.0156;-26.1002;-41.7627;47.3139;17.5236;-55.3219;11.1098;49.2994;-35.7005;-30.2327;50.9138;4.3008;-52.137;22.541;40.3232;-42.4059;-17.95;51.2656;-8.00165;-46.2018;31.6537;29.8185;-46.0386;-5.73338;48.6168;-18.7009;-38.1317;38.0874;18.5777;-46.6468;5.6593;43.4048;-27.2715;-28.6227;41.6868;7.3722;-44.4773;15.5921;36.2005;-33.3801;-18.4107;42.4897;-3.0929;-39.9312;23.575;27.654;-36.8766;-8.2171;40.7303;-12.2237;-33.5396;29.294;18.4508;-37.8047;1.30394;36.7849;-19.5686;-25.9225;32.6279;9.26735;-36.3943;9.60314;31.1662;-24.8492;-17.7079;33.6162;0.702704;-32.9955;16.2698;24.431
-27.9485;-9.52356;32.4767;-6.73602;-28.0805;21.048;17.1786;-28.9256;-1.92529;29.5556;-12.6805;-22.1887;23.8539;9.98498;-27.9962;4.63064;25.2975;-16.9084;-15.8701;24.7539;3.35804;-25.4878;9.81344;20.2075;-19.3655;-9.65386;23.9703;-2.29556;-21.8345;13.4478;14.7906;-20.1243;-3.99994;21.8153;-6.68554;-17.494;15.4866;9.53486;-19.4095;0.730077;18.6963;-9.66718;-12.9447;16.0376;4.85166;-17.5375;4.29301;15.0616;-11.237;-8.63129;15.3305;1.06014;-14.902;6.5823;11.3424;-11.518;-4.91514;13.6784;-1.64818;-11.9153;7.6265;7.94259;-10.7454;-2.06865;11.456;-3.20219;-8.98489;7.57004;5.1846;-9.24924;-0.239464;9.07033;-3.67183;-6.47594;6.6774;3.29013;-7.38268;0.543576;6.88916;-3.23005;-4.66195;5.26528;2.36154;-5.53705;0.386253;5.23472;-2.13765;-3.72369;3.69096;2.38659;-4.05344;-0.515931;4.35145;-0.737047;-3.71912;2.3227;3.22681;-3.21734;0.959497;1.47531;2.18737;1.9946;3.03507;3.53923;2.93784;0.673338;-2.48342;-9.16563;-21.044;-49.6095;-104.806;-203.257;208.449;-44.5684;-186.996;142.867;114.691;-203.797;-9.27425;210.989;-100.287;-160.509;185.235;65.9064;-221.061;48.8912;198.086;-152.202;-120.458;216.709;9.13972;-223.247;107.265;169.894;-196.365;-69.0511;234.449;-51.913;-209.358;161.582;127.637;-229.136;-9.41012;236.481;-113.081;-179.595;207.755;73.632;-247.598;54.6157;221.807;-169.99;-135.236;242.062;11.1011;-249.684;118.718;190.612;-218.362;-78.6747;261.434;-55.9545;-234.389;178.346;144.246;-254.396;-13.2526;263.78;-123.088;-201.914;229.136;85.1732;-274.918;56.9094;248.07;-185.631;-153.65;267.114;16.8555;-277.755;127.202;214.464;-238.999;-92.1305;288.984;-56.4497;-261.791;192.769;164.42;-279.127;-20.933;292.508;-129.984;-227.246
248.939;100.534;-302.61;55.5707;276.545;-198.764;-175.555;291.437;26.4766;-307.06;132.447;241.229;-257.895;-109.387;316.729;-53.2375;-291.282;204.55;188.034;-302.967;-32.5091;322.337;-133.539;-255.369;266.795;119.681;-330.277;50.4276;306.936;-209.066;-200.821;314.637;40.0337;-337.249;134.205;270.642;-274.631;-130.396;344.224;-46.1453;-322.493;213.318;214.903;-325.449;-48.0367;352.808;-133.458;-285.999;282.333;142.52;-357.507;41.3662;338.887;-216.242;-229.243;336.313;57.5263;-367.924;132.269;302.423;-288.874;-155.046;371.089;-35.0837;-355.098;218.823;244.83;-346.223;-67.4967;383.56;-129.592;-318.858;295.193;168.954;-383.886;28.2709;372.044;-219.992;-260.607;356.045;78.9571;-398.657;126.418;336.257;-300.248;-183.216;396.86;-19.94;-388.682;220.739;277.568;-364.836;-90.8733;414.183;-121.746;-353.601;305.49;-15.3301;-0.423135;1.07902;1.60354;1.65277;0.868442;-0.88607;-6.28939;-18.8972;-46.874;-108.022;-209.284;-497.814;-1154.19;-2429.12;3855.8;-1396.1;-3146.13;3013.42;1605.87;-3842.68;363.383;3663.55;-2243.67;-2518.58;3540.47;706.72;-3909.18;1298.24;3250.42;-2968.19;-1732.92;3863.09;-245.909;-3743.58;2167.61;2638.39;-3525.02;-834.045;3959.59;-1195.89;-3352.75;2918.72;1861.43;-3878.78;125.805;3821.48;-2086.56;-2757.35;3505.43;963.922;-4005.96;1090.16;3454.04;-2864.07;-1990.31;3890.71;-2.16939;-3896.18;2001.61;2876.37;-3480.63;-1095.24;4049.06;-980.045;-3553.04;2805.11;2120.35;-3897.65;-123.939;3968.39;-1911.63;-2994.22;3451.56;1228.85;-4087.78;866.649;3650.59;-2740.87;-2250.39;3900.57;253.358;-4037.04;1817.78;3111.68;-3417.06;-1363.6;4122.91;-749.028;-3745.43;2672.26;2381.2;-3898.25;-384.983;4102.78;-1718.98;-3227.61
3378.18;1500.3;-4153.39;628.321;3838.48;-2598.39;-2511.65;3891.73;519.646;-4164.65;1616.4;3342.8;-3333.81;-1637.82;4180.04;-503.58;-3928.49;2520.19;2642.55;-3879.85;-656.249;4223.4;-1509.03;-3456.01;3284.85;1776.96;-4201.69;375.898;4016.23;-2436.6;-2772.65;3863.42;795.638;-4277.74;1397.86;3568.1;-3230.35;-1916.55;4219.25;-244.43;-4100.59;2348.77;2902.82;-3841.5;-936.64;4328.69;-1282.07;-3677.8;3171.21;2057.4;-4231.58;110.276;4182.32;-2255.63;-3031.79;3814.92;1080.1;-4374.96;1162.72;3786.01;-3106.47;-2198.35;4239.6;27.4398;-4260.31;2158.27;3160.45;-3782.72;-1224.87;4417.46;-1038.84;-3891.46;3037.04;2340.2;-4242.11;-167.627;4335.3;-2055.64;-3287.5;3745.59;1371.79;-4455.01;911.538;3994.93;-2961.92;-2481.72;4240.02;311.099;-4406.09;1948.83;3413.83;-3702.76;-1519.66;4488.51;-779.961;-4095.31;2883.09;-118.071;-46.781;-11.0842;-0.776938;1.09099;1.5956;1.80358;1.90727;2.41403;2.70066;3.57533;4.08619;3.34889;3.67198;3.0277;0.919429;49.9622;-24.9396;-36.708;43.6421;14.7141;-50.4738;11.2073;44.7824;-33.4505;-27.2653;47.3135;3.48602;-48.4463;21.3229;37.6588;-39.8866;-16.9458;48.4848;-7.34107;-44.135;29.8868;29.0564;-44.043;-6.31346;47.2392;-17.2592;-37.8922;36.5734;19.4893;-45.842;4.08401;43.7775;-25.8264;-30.1369;41.1583;9.48507;-45.3441;13.7548;38.4069;-32.7077;-21.3416;43.5488;-0.442002;-42.7112;22.2723;31.5043;-37.6817;-11.9913;43.7713;-9.82525;-38.2067;29.3079;23.4961;-40.6215;-2.57134;41.9454;-18.2466;-32.1591;34.6146;14.8304;-41.5244;6.47367;38.2918;-25.376;-24.9526;38.0602;5.95464;-40.4799;14.7499;33.0984;-30.9718;-16.9937;39.6104;-2.71374;-37.664;21.9276;26.7043;-34.8796;-8.69434;39.3204;-10.7953
-33.3228;27.7618;19.4758;-37.038;-0.446977;37.3264;-17.9716;-27.7507;32.0844;11.7864;-37.4732;7.39381;33.8324;-23.9956;-21.2721;34.8144;3.99916;-36.2826;14.5182;29.0892;-28.6873;-14.2239;35.943;-3.55807;-33.6287;20.6855;23.377;-31.9492;-6.93088;35.5362;-10.5828;-29.7164;25.7002;16.9945;-33.7391;0.291932;33.7096;-16.8366;-24.787;29.4455;10.2392;-34.088;7.1673;30.6311;-22.1243;-19.0996;31.8633;3.38779;-33.0776;13.464;26.4956;-26.317;-12.9095;32.945;-3.2912;-30.8319;18.9796;21.5247;-29.3237;-6.47935;32.7371;-9.57477;-27.5044;23.5683;15.9414;-31.1113;-0.0445459;31.3202;-15.2667;-23.2734;27.1296;9.96923;-31.6903;6.18034;28.8098;-20.2121;-18.3248;29.5941;3.82041;-31.098;12.005;25.3348;-24.2873;-12.8472;30.9379;-2.29408;-29.4057;17.2567;21.0482;-27.3967;-7.03744;31.1599;-8.19403;-26.7065;21.8006;16.1095;-29.4788;4.6734;2.68468;2.64789;2.45372;2.61326;2.0115;1.81015;1.92702;2.48785;1.45956;1.71332;2.21449;2.91656;2.65196;2.8756;2.01653;0.018603;7.20025;-4.09317;-5.11849;7.91547;3.68462;-19.3142;39.2422;-14.9017;-31.0258;30.8348;15.4157;-38.082;4.36057;35.8455;-22.201;-23.9486;34.4674;6.55745;-37.1723;12.6729;30.7185;-27.8317;-16.0106;36.0087;-2.08771;-34.304;19.7762;24.2677;-31.5831;-7.7143;35.5074;-10.0473;-29.7637;25.3488;16.9419;-33.3778;0.448463;33.1364;-16.9206;-23.9255;29.1854;9.21628;-33.2501;8.02765;29.1633;-22.4054;-17.2104;31.202;1.55038;-31.3536;14.6469;23.9267;-26.2904;-10.0613;31.4161;-5.62705;-27.9235;20.0025;17.8191;-28.4865;-2.90978;29.9588;-11.9554;-23.2742;23.8984;11.2499;-29.0054;3.8423;27.0504;-17.151;-17.7685;26.2397;4.62618;-27.9609;9.85433;22.9724;-21.022;-11.7828;27.0297;-1.68204
-25.5462;14.8573;18.0569;-23.4697;-5.69357;26.363;-7.35137;-22.0207;18.6654;12.654;-24.4935;0.151284;24.4172;-12.1296;-17.6878;21.1852;7.11087;-24.1741;5.45169;21.4252;-15.84;-12.8667;22.4055;1.74518;-22.6723;9.97663;17.6638;-18.3962;-7.87541;22.4037;-3.16348;-20.192;13.5555;13.4206;-19.7786;-3.00655;21.3109;-7.40007;-16.9853;16.1048;8.98678;-20.0521;1.4868;19.3202;-10.8119;-13.3158;17.6129;4.6255;-19.3422;5.4103;16.6543;-13.3234;-9.44078;18.131;0.567676;-17.8176;8.62404;13.5508;-14.9184;-5.60228;17.773;-3.01236;-15.6758;11.0576;10.2391;-15.6459;-1.99961;16.687;-5.99375;-13.1321;12.7063;6.93268;-15.6112;1.21259;15.0563;-8.31898;-10.3829;13.6091;3.80083;-14.9434;3.9354;13.0575;-9.98336;-7.61283;13.8619;0.980942;-13.7947;6.11373;10.8673;-11.0248;-4.97135;13.577;-1.44647;-12.3285;7.75254;8.64254;-11.3652;3.24106;1.89031;1.36451;1.74082;2.08558;2.15983;2.04425;2.24409;2.7568;3.89081;1.19624;1.3772;1.82299;1.91933;1.65174;1.65917;1.48578;1.1376;0.189799;0.989808;1.13979;1.10127;-2.13403;7.71688;-3.12672;-5.73025;6.31362;2.76997;-7.33841;1.30016;6.90562;-4.47918;-4.23922;6.8906;1.00338;-7.00636;2.87629;5.77423;-5.46187;-2.62247;7.03766;-0.668571;-6.29958;4.16767;4.4185;-6.04446;-0.985356;6.7787;-2.15325;-5.28784;5.1178;2.93591;-6.22721;0.570683;6.16673;-3.37623;-4.06092;5.69937;1.4295;-6.03339;1.95757;5.26854;-4.28837;-2.71096;5.91116;-0.00890429;-5.50982;3.10871;4.1672;-4.8601;-1.33532;5.77388;-1.29408;-4.72037;3.97237;2.95018;-5.09105;-0.0191154;5.3315;-2.36399;-3.7405;4.52633;1.70445;-5.00205;1.1591;4.64377;-3.17244;-2.65315;4.76777;0.512996;-4.63286;2.14306;3.78114;-3.70052;-1.53787;4.7189;-0.556931
-4.04048;2.8917;2.81933;-3.94538;-0.469527;4.41578;-1.45017;-3.28931;3.38512;1.83223;-3.92741;0.487954;3.91146;-2.13116;-2.4498;3.62473;0.889684;-3.68193;1.28498;3.26647;-2.58235;-1.59014;3.6286;0.0465569;-3.25974;1.89332;2.54552;-2.80932;-0.77194;3.43435;-0.650623;-2.71439;2.29499;1.81042;-2.82703;-0.0479016;3.08387;-1.17657;-2.10694;2.49764;1.11825;-2.6719;0.544665;2.63262;-1.52141;-1.4949;2.51989;0.513361;-2.38634;0.984216;2.1337;-1.69244;-0.926529;2.39681;0.0295694;-2.02275;1.26477;1.64166;-1.71201;-0.444405;2.17063;-0.317559;-1.629;1.39695;1.19845;-1.6128;-0.0723206;1.88697;-0.52724;-1.25518;1.40486;0.840344;-1.43789;0.176813;1.59496;-0.61247;-0.935369;1.32188;0.581759;-1.22997;0.311372;1.33251;-0.602284;-0.697789;1.18987;0.432996;-1.02963;0.342715;1.13325;-0.52608;-0.557847;1.04668;0.38408;-0.875391;0.302135;1.0196;0.0821846;0.878631;1.23669;0.747796;1.31864;1.39018;1.40886;1.6374;1.79506;1.52069;1.97296;2.44436;2.22719;2.11012;1.98668;1.90001;2.77381;3.02257;3.34273;2.24811;1.20361;1.31467;1.24129;0.42515;0.869814;-4.21375;2.49627;3.18196;-3.88986;-0.771423;4.62165;-1.39992;-3.55263;3.63222;1.91772;-4.35389;0.742021;4.28169;-2.73398;-2.50571;4.40946;0.456502;-4.3559;2.20701;3.50545;-3.78945;-1.16481;4.75703;-1.07268;-3.89221;3.49411;2.3564;-4.47028;0.349745;4.63555;-2.52841;-2.99631;4.48035;0.932717;-4.70478;1.90491;4.04525;-3.77822;-1.74148;5.07044;-0.642217;-4.46205;3.35992;3.02908;-4.70242;-0.226859;5.1964;-2.23343;-3.74503;4.58154;1.65948;-5.20647;1.41934;4.83242;-3.69857;-2.60194;5.45215;0.046655;-5.22965;3.05686;3.98706;-4.90202;-1.11299;5.87762;-1.67951;-4.7458;4.54196;2.71555;-5.72745;0.605107;5.80193;-3.37267;-3.77522
5.7379;1.10494;-6.08392;2.4188;5.20536;-4.88818;-2.37385;6.52831;-0.726139;-5.91671;4.17828;4.10937;-6.08691;-0.636181;6.82315;-2.63562;-5.20894;5.73453;2.5762;-6.85164;1.31396;6.5701;-4.47164;-3.98981;6.94483;0.709162;-7.09297;3.32623;5.757;-6.0767;-2.32492;7.69437;-1.36562;-6.76152;5.24733;4.4148;-7.31294;-0.321597;7.89254;-3.49224;-5.84708;6.91619;2.61725;-8.05683;1.88335;7.48936;-5.50836;-4.38603;8.18751;0.47673;-8.22087;4.13051;6.48018;-7.24937;-2.45581;8.93595;-1.86359;-7.75377;6.24952;4.90167;-8.56448;-0.175451;9.07416;-4.23775;-6.65396;8.0725;2.84004;-9.32917;2.30466;8.54958;-6.46838;-4.96123;9.44161;0.417702;-9.44856;4.81224;7.36569;-8.38211;-2.77065;10.2295;-2.20362;-8.87857;7.16116;5.56735;-9.81644;-0.207781;10.3455;-4.85049;-7.61848;9.17624;3.24751;-10.643;2.5627;9.73849;-7.32994;-5.71652;10.8507;-2.96726;1.02831;1.41523;1.75761;1.86397;2.21904;1.89905;2.13502;1.98959;2.18364;2.17443;2.24783;1.73588;2.02574;1.67368;2.0918;2.44774;2.18578;1.94746;1.71526;0.743987;-0.525744;1.05215;0.963031;-50.1559;25.8255;36.7122;-43.8721;-13.6308;50.5644;-11.9461;-43.5325;34.2427;25.8699;-46.6402;-1.50521;47.1044;-22.1518;-34.9095;39.9154;14.4595;-46.4102;9.63939;41.1827;-30.1233;-24.9867;42.708;3.24325;-43.4358;19.183;33.3725;-35.5445;-14.5153;42.7028;-7.07794;-38.1536;26.6575;24.3463;-38.298;-4.21284;40.1505;-15.9265;-31.1244;31.7805;14.8047;-38.4653;5.26794;35.4682;-22.8636;-22.9623;34.436;5.41489;-36.2779;13.3878;29.1644;-27.6274;-14.3269;34.7025;-3.21198;-32.1264;19.744;21.833;-30.1222;-5.84722;32.8206;-10.5802;-26.5082;24.104;14.0856;-30.4372;1.91818;29.1499;-16.3179;-19.9714;26.3853;6.50749;-28.7927
