V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;V28;V29;V30;V31;V32;V33;V34;V35;V36;V37;V38;V39;V40;V41;V42;V43;V44;V45;V46;V47;V48;V49;V50;V51;V52;V53;V54;V55;V56;V57;V58;V59;V60;V61;V62;V63;V64;V65;V66;V67;V68;V69;V70;V71;V72;V73;V74;V75;V76;V77;V78;V79;V80;V81;V82;V83;V84;V85;V86;V87;V88;V89;V90;V91;V92;V93;V94;V95;V96;V97;V98;V99;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;V133;V134;V135;V136;V137;V138;V139;V140;V141;V142;V143;V144;V145;V146;V147;V148;V149;V150;V151;V152;V153;V154;V155;V156;V157;V158;V159;V160;V161;V162;V163;V164;V165;V166;V167;V168;V169;V170;V171;V172;V173;V174;V175;V176;V177;V178;V179;V180;V181;V182;V183;V184;V185;V186;V187;V188;V189;V190;V191;V192;V193;V194
-61.3263;-64.2338;-61.3263;-64.2338;-62.5703;-65.3813;-65.2212;-63.9214;-65.8414;-71.157;-73.9177;-66.012;-64.2338;-65.054;-67.8916;-68.7437;-55.3112;-59.768;-60.611;-63.3087;-65.8414;-63.4493;-69.6368;101;2000;-61.3263;-64.2338;-62.5703;-65.3813;-65.2212;-63.9214;-65.8414;-71.157;-73.9177;-66.012;-64.2338;-65.054;-67.8916;-68.7437;-55.3112;-59.768;-60.611;-63.3087;-65.8414;-63.4493;-69.6368;101;2000;-61.3263;-64.2338;-62.5703;-65.3813;-65.2212;-63.9214;-65.8414;-71.157;-73.9177;-66.012;-64.2338;-65.054;-67.8916;-68.7437;-55.3112;-59.768;-60.611;-63.3087;-65.8414;-63.4493;-69.6368;101;2000;-61.3263;-64.2338;-62.5703;-65.3813;-65.2212;-63.9214;-65.8414;101;2000;-61.3263;-64.2338;-62.5703;-65.3813;-65.2212;-63.9214;-65.8414;-71.157;-73.9177;-66.012;-64.2338;-65.054;-67.8916;-68.7437;-55.3112;-59.768;-60.611;-63.3087;-65.8414;-63.4493;-69.6368;101;2000;-61.3263;-64.2338;-62.5703;-65.3813;-65.2212;-63.9214;-65.8414;-71.157;-73.9177;-66.012;-64.2338;-65.054;-67.8916;-68.7437;-55.3112;-59.768;-60.611;-63.3087;-65.8414;-63.4493;-69.6368;101;2000;-61.3263;-64.2338;-62.5703;-65.3813;-65.2212;-63.9214;-65.8414;-71.157;-73.9177;101;2000;-61.3263;-64.2338;-62.5703;-65.3813;-65.2212;-63.9214;-65.8414;-71.157;-73.9177;-66.012;-64.2338;-65.054;-67.8916;-68.7437;-55.3112;-59.768;-60.611;-63.3087;-65.8414;-63.4493;-69.6368;101;2000;-61.3263;-64.2338;-62.5703;-65.3813;-65.2212;-63.9214;-65.8414;-71.157;-73.9177;-66.012;-64.2338;-65.054;-67.8916;-68.7437;-55.3112;-59.768;-60.611;-63.3087;-65.8414;-63.4493;-69.6368;101;2000;-61.3263;-64.2338;-62.5703;-65.3813;-65.2212;-63.9214;-65.8414;-71.157;-73.9177;-66.012;-64.2338
-60.4706;-63.3566;-60.4706;-63.3566;-61.6916;-64.4166;-64.2654;-62.9768;-64.9278;-70.228;-72.9914;-65.123;-63.3566;-64.163;-66.9712;-67.7994;-54.5064;-58.925;-59.768;-62.4384;-64.9278;-62.5706;-68.7126;201;2000;-60.4706;-63.3566;-61.6916;-64.4166;-64.2654;-62.9768;-64.9278;-70.228;-72.9914;-65.123;-63.3566;-64.163;-66.9712;-67.7994;-54.5064;-58.925;-59.768;-62.4384;-64.9278;-62.5706;-68.7126;201;2000;-60.4706;-63.3566;-61.6916;-64.4166;-64.2654;-62.9768;-64.9278;-70.228;-72.9914;-65.123;-63.3566;-64.163;-66.9712;-67.7994;-54.5064;-58.925;-59.768;-62.4384;-64.9278;-62.5706;-68.7126;201;2000;-60.4706;-63.3566;-61.6916;-64.4166;-64.2654;-62.9768;-64.9278;201;2000;-60.4706;-63.3566;-61.6916;-64.4166;-64.2654;-62.9768;-64.9278;-70.228;-72.9914;-65.123;-63.3566;-64.163;-66.9712;-67.7994;-54.5064;-58.925;-59.768;-62.4384;-64.9278;-62.5706;-68.7126;201;2000;-60.4706;-63.3566;-61.6916;-64.4166;-64.2654;-62.9768;-64.9278;-70.228;-72.9914;-65.123;-63.3566;-64.163;-66.9712;-67.7994;-54.5064;-58.925;-59.768;-62.4384;-64.9278;-62.5706;-68.7126;201;2000;-60.4706;-63.3566;-61.6916;-64.4166;-64.2654;-62.9768;-64.9278;-70.228;-72.9914;201;2000;-60.4706;-63.3566;-61.6916;-64.4166;-64.2654;-62.9768;-64.9278;-70.228;-72.9914;-65.123;-63.3566;-64.163;-66.9712;-67.7994;-54.5064;-58.925;-59.768;-62.4384;-64.9278;-62.5706;-68.7126;201;2000;-60.4706;-63.3566;-61.6916;-64.4166;-64.2654;-62.9768;-64.9278;-70.228;-72.9914;-65.123;-63.3566;-64.163;-66.9712;-67.7994;-54.5064;-58.925;-59.768;-62.4384;-64.9278;-62.5706;-68.7126;201;2000;-60.4706;-63.3566;-61.6916;-64.4166;-64.2654;-62.9768;-64.9278;-70.228;-72.9914;-65.123;-63.3566
-59.6149;-62.4794;-59.6149;-62.4794;-60.8129;-63.4519;-63.3096;-62.0322;-64.0142;-69.299;-72.0651;-64.234;-62.4794;-63.272;-66.0508;-66.8551;-53.7016;-58.082;-58.925;-61.5681;-64.0142;-61.6919;-67.7884;301;2000;-59.6149;-62.4794;-60.8129;-63.4519;-63.3096;-62.0322;-64.0142;-69.299;-72.0651;-64.234;-62.4794;-63.272;-66.0508;-66.8551;-53.7016;-58.082;-58.925;-61.5681;-64.0142;-61.6919;-67.7884;301;2000;-59.6149;-62.4794;-60.8129;-63.4519;-63.3096;-62.0322;-64.0142;-69.299;-72.0651;-64.234;-62.4794;-63.272;-66.0508;-66.8551;-53.7016;-58.082;-58.925;-61.5681;-64.0142;-61.6919;-67.7884;301;2000;-59.6149;-62.4794;-60.8129;-63.4519;-63.3096;-62.0322;-64.0142;301;2000;-59.6149;-62.4794;-60.8129;-63.4519;-63.3096;-62.0322;-64.0142;-69.299;-72.0651;-64.234;-62.4794;-63.272;-66.0508;-66.8551;-53.7016;-58.082;-58.925;-61.5681;-64.0142;-61.6919;-67.7884;301;2000;-59.6149;-62.4794;-60.8129;-63.4519;-63.3096;-62.0322;-64.0142;-69.299;-72.0651;-64.234;-62.4794;-63.272;-66.0508;-66.8551;-53.7016;-58.082;-58.925;-61.5681;-64.0142;-61.6919;-67.7884;301;2000;-59.6149;-62.4794;-60.8129;-63.4519;-63.3096;-62.0322;-64.0142;-69.299;-72.0651;301;2000;-59.6149;-62.4794;-60.8129;-63.4519;-63.3096;-62.0322;-64.0142;-69.299;-72.0651;-64.234;-62.4794;-63.272;-66.0508;-66.8551;-53.7016;-58.082;-58.925;-61.5681;-64.0142;-61.6919;-67.7884;301;2000;-59.6149;-62.4794;-60.8129;-63.4519;-63.3096;-62.0322;-64.0142;-69.299;-72.0651;-64.234;-62.4794;-63.272;-66.0508;-66.8551;-53.7016;-58.082;-58.925;-61.5681;-64.0142;-61.6919;-67.7884;301;2000;-59.6149;-62.4794;-60.8129;-63.4519;-63.3096;-62.0322;-64.0142;-69.299;-72.0651;-64.234;-62.4794
-58.7592;-61.6022;-58.7592;-61.6022;-59.9342;-62.4872;-62.3538;-61.0876;-63.1006;-68.37;-71.1388;-63.345;-61.6022;-62.381;-65.1304;-65.9108;-52.8968;-57.239;-58.082;-60.6978;-63.1006;-60.8132;-66.8642;401;2000;-58.7592;-61.6022;-59.9342;-62.4872;-62.3538;-61.0876;-63.1006;-68.37;-71.1388;-63.345;-61.6022;-62.381;-65.1304;-65.9108;-52.8968;-57.239;-58.082;-60.6978;-63.1006;-60.8132;-66.8642;401;2000;-58.7592;-61.6022;-59.9342;-62.4872;-62.3538;-61.0876;-63.1006;-68.37;-71.1388;-63.345;-61.6022;-62.381;-65.1304;-65.9108;-52.8968;-57.239;-58.082;-60.6978;-63.1006;-60.8132;-66.8642;401;2000;-58.7592;-61.6022;-59.9342;-62.4872;-62.3538;-61.0876;-63.1006;401;2000;-58.7592;-61.6022;-59.9342;-62.4872;-62.3538;-61.0876;-63.1006;-68.37;-71.1388;-63.345;-61.6022;-62.381;-65.1304;-65.9108;-52.8968;-57.239;-58.082;-60.6978;-63.1006;-60.8132;-66.8642;401;2000;-58.7592;-61.6022;-59.9342;-62.4872;-62.3538;-61.0876;-63.1006;-68.37;-71.1388;-63.345;-61.6022;-62.381;-65.1304;-65.9108;-52.8968;-57.239;-58.082;-60.6978;-63.1006;-60.8132;-66.8642;401;2000;-58.7592;-61.6022;-59.9342;-62.4872;-62.3538;-61.0876;-63.1006;-68.37;-71.1388;401;2000;-58.7592;-61.6022;-59.9342;-62.4872;-62.3538;-61.0876;-63.1006;-68.37;-71.1388;-63.345;-61.6022;-62.381;-65.1304;-65.9108;-52.8968;-57.239;-58.082;-60.6978;-63.1006;-60.8132;-66.8642;401;2000;-58.7592;-61.6022;-59.9342;-62.4872;-62.3538;-61.0876;-63.1006;-68.37;-71.1388;-63.345;-61.6022;-62.381;-65.1304;-65.9108;-52.8968;-57.239;-58.082;-60.6978;-63.1006;-60.8132;-66.8642;401;2000;-58.7592;-61.6022;-59.9342;-62.4872;-62.3538;-61.0876;-63.1006;-68.37;-71.1388;-63.345;-61.6022
-57.9035;-60.725;-57.9035;-60.725;-59.0555;-61.5225;-61.398;-60.143;-62.187;-67.441;-70.2125;-62.456;-60.725;-61.49;-64.21;-64.9665;-52.092;-56.396;-57.239;-59.8275;-62.187;-59.9345;-65.94;501;2000;-57.9035;-60.725;-59.0555;-61.5225;-61.398;-60.143;-62.187;-67.441;-70.2125;-62.456;-60.725;-61.49;-64.21;-64.9665;-52.092;-56.396;-57.239;-59.8275;-62.187;-59.9345;-65.94;501;2000;-57.9035;-60.725;-59.0555;-61.5225;-61.398;-60.143;-62.187;-67.441;-70.2125;-62.456;-60.725;-61.49;-64.21;-64.9665;-52.092;-56.396;-57.239;-59.8275;-62.187;-59.9345;-65.94;501;2000;-57.9035;-60.725;-59.0555;-61.5225;-61.398;-60.143;-62.187;501;2000;-57.9035;-60.725;-59.0555;-61.5225;-61.398;-60.143;-62.187;-67.441;-70.2125;-62.456;-60.725;-61.49;-64.21;-64.9665;-52.092;-56.396;-57.239;-59.8275;-62.187;-59.9345;-65.94;501;2000;-57.9035;-60.725;-59.0555;-61.5225;-61.398;-60.143;-62.187;-67.441;-70.2125;-62.456;-60.725;-61.49;-64.21;-64.9665;-52.092;-56.396;-57.239;-59.8275;-62.187;-59.9345;-65.94;501;2000;-57.9035;-60.725;-59.0555;-61.5225;-61.398;-60.143;-62.187;-67.441;-70.2125;501;2000;-57.9035;-60.725;-59.0555;-61.5225;-61.398;-60.143;-62.187;-67.441;-70.2125;-62.456;-60.725;-61.49;-64.21;-64.9665;-52.092;-56.396;-57.239;-59.8275;-62.187;-59.9345;-65.94;501;2000;-57.9035;-60.725;-59.0555;-61.5225;-61.398;-60.143;-62.187;-67.441;-70.2125;-62.456;-60.725;-61.49;-64.21;-64.9665;-52.092;-56.396;-57.239;-59.8275;-62.187;-59.9345;-65.94;501;2000;-57.9035;-60.725;-59.0555;-61.5225;-61.398;-60.143;-62.187;-67.441;-70.2125;-62.456;-60.725
-57.0478;-59.8478;-57.0478;-59.8478;-58.1768;-60.5578;-60.4422;-59.1984;-61.2734;-66.512;-69.2862;-61.567;-59.8478;-60.599;-63.2896;-64.0222;-51.2872;-55.553;-56.396;-58.9572;-61.2734;-59.0558;-65.0158;601;2000;-57.0478;-59.8478;-58.1768;-60.5578;-60.4422;-59.1984;-61.2734;-66.512;-69.2862;-61.567;-59.8478;-60.599;-63.2896;-64.0222;-51.2872;-55.553;-56.396;-58.9572;-61.2734;-59.0558;-65.0158;601;2000;-57.0478;-59.8478;-58.1768;-60.5578;-60.4422;-59.1984;-61.2734;-66.512;-69.2862;-61.567;-59.8478;-60.599;-63.2896;-64.0222;-51.2872;-55.553;-56.396;-58.9572;-61.2734;-59.0558;-65.0158;601;2000;-57.0478;-59.8478;-58.1768;-60.5578;-60.4422;-59.1984;-61.2734;601;2000;-57.0478;-59.8478;-58.1768;-60.5578;-60.4422;-59.1984;-61.2734;-66.512;-69.2862;-61.567;-59.8478;-60.599;-63.2896;-64.0222;-51.2872;-55.553;-56.396;-58.9572;-61.2734;-59.0558;-65.0158;601;2000;-57.0478;-59.8478;-58.1768;-60.5578;-60.4422;-59.1984;-61.2734;-66.512;-69.2862;-61.567;-59.8478;-60.599;-63.2896;-64.0222;-51.2872;-55.553;-56.396;-58.9572;-61.2734;-59.0558;-65.0158;601;2000;-57.0478;-59.8478;-58.1768;-60.5578;-60.4422;-59.1984;-61.2734;-66.512;-69.2862;601;2000;-57.0478;-59.8478;-58.1768;-60.5578;-60.4422;-59.1984;-61.2734;-66.512;-69.2862;-61.567;-59.8478;-60.599;-63.2896;-64.0222;-51.2872;-55.553;-56.396;-58.9572;-61.2734;-59.0558;-65.0158;601;2000;-57.0478;-59.8478;-58.1768;-60.5578;-60.4422;-59.1984;-61.2734;-66.512;-69.2862;-61.567;-59.8478;-60.599;-63.2896;-64.0222;-51.2872;-55.553;-56.396;-58.9572;-61.2734;-59.0558;-65.0158;601;2000;-57.0478;-59.8478;-58.1768;-60.5578;-60.4422;-59.1984;-61.2734;-66.512;-69.2862;-61.567;-59.8478
-56.1921;-58.9706;-56.1921;-58.9706;-57.2981;-59.5931;-59.4864;-58.2538;-60.3598;-65.583;-68.3599;-60.678;-58.9706;-59.708;-62.3692;-63.0779;-50.4824;-54.71;-55.553;-58.0869;-60.3598;-58.1771;-64.0916;701;2000;-56.1921;-58.9706;-57.2981;-59.5931;-59.4864;-58.2538;-60.3598;-65.583;-68.3599;-60.678;-58.9706;-59.708;-62.3692;-63.0779;-50.4824;-54.71;-55.553;-58.0869;-60.3598;-58.1771;-64.0916;701;2000;-56.1921;-58.9706;-57.2981;-59.5931;-59.4864;-58.2538;-60.3598;-65.583;-68.3599;-60.678;-58.9706;-59.708;-62.3692;-63.0779;-50.4824;-54.71;-55.553;-58.0869;-60.3598;-58.1771;-64.0916;701;2000;-56.1921;-58.9706;-57.2981;-59.5931;-59.4864;-58.2538;-60.3598;701;2000;-56.1921;-58.9706;-57.2981;-59.5931;-59.4864;-58.2538;-60.3598;-65.583;-68.3599;-60.678;-58.9706;-59.708;-62.3692;-63.0779;-50.4824;-54.71;-55.553;-58.0869;-60.3598;-58.1771;-64.0916;701;2000;-56.1921;-58.9706;-57.2981;-59.5931;-59.4864;-58.2538;-60.3598;-65.583;-68.3599;-60.678;-58.9706;-59.708;-62.3692;-63.0779;-50.4824;-54.71;-55.553;-58.0869;-60.3598;-58.1771;-64.0916;701;2000;-56.1921;-58.9706;-57.2981;-59.5931;-59.4864;-58.2538;-60.3598;-65.583;-68.3599;701;2000;-56.1921;-58.9706;-57.2981;-59.5931;-59.4864;-58.2538;-60.3598;-65.583;-68.3599;-60.678;-58.9706;-59.708;-62.3692;-63.0779;-50.4824;-54.71;-55.553;-58.0869;-60.3598;-58.1771;-64.0916;701;2000;-56.1921;-58.9706;-57.2981;-59.5931;-59.4864;-58.2538;-60.3598;-65.583;-68.3599;-60.678;-58.9706;-59.708;-62.3692;-63.0779;-50.4824;-54.71;-55.553;-58.0869;-60.3598;-58.1771;-64.0916;701;2000;-56.1921;-58.9706;-57.2981;-59.5931;-59.4864;-58.2538;-60.3598;-65.583;-68.3599;-60.678;-58.9706
-55.3364;-58.0934;-55.3364;-58.0934;-56.4194;-58.6284;-58.5306;-57.3092;-59.4462;-64.654;-67.4336;-59.789;-58.0934;-58.817;-61.4488;-62.1336;-49.6776;-53.867;-54.71;-57.2166;-59.4462;-57.2984;-63.1674;801;2000;-55.3364;-58.0934;-56.4194;-58.6284;-58.5306;-57.3092;-59.4462;-64.654;-67.4336;-59.789;-58.0934;-58.817;-61.4488;-62.1336;-49.6776;-53.867;-54.71;-57.2166;-59.4462;-57.2984;-63.1674;801;2000;-55.3364;-58.0934;-56.4194;-58.6284;-58.5306;-57.3092;-59.4462;-64.654;-67.4336;-59.789;-58.0934;-58.817;-61.4488;-62.1336;-49.6776;-53.867;-54.71;-57.2166;-59.4462;-57.2984;-63.1674;801;2000;-55.3364;-58.0934;-56.4194;-58.6284;-58.5306;-57.3092;-59.4462;801;2000;-55.3364;-58.0934;-56.4194;-58.6284;-58.5306;-57.3092;-59.4462;-64.654;-67.4336;-59.789;-58.0934;-58.817;-61.4488;-62.1336;-49.6776;-53.867;-54.71;-57.2166;-59.4462;-57.2984;-63.1674;801;2000;-55.3364;-58.0934;-56.4194;-58.6284;-58.5306;-57.3092;-59.4462;-64.654;-67.4336;-59.789;-58.0934;-58.817;-61.4488;-62.1336;-49.6776;-53.867;-54.71;-57.2166;-59.4462;-57.2984;-63.1674;801;2000;-55.3364;-58.0934;-56.4194;-58.6284;-58.5306;-57.3092;-59.4462;-64.654;-67.4336;801;2000;-55.3364;-58.0934;-56.4194;-58.6284;-58.5306;-57.3092;-59.4462;-64.654;-67.4336;-59.789;-58.0934;-58.817;-61.4488;-62.1336;-49.6776;-53.867;-54.71;-57.2166;-59.4462;-57.2984;-63.1674;801;2000;-55.3364;-58.0934;-56.4194;-58.6284;-58.5306;-57.3092;-59.4462;-64.654;-67.4336;-59.789;-58.0934;-58.817;-61.4488;-62.1336;-49.6776;-53.867;-54.71;-57.2166;-59.4462;-57.2984;-63.1674;801;2000;-55.3364;-58.0934;-56.4194;-58.6284;-58.5306;-57.3092;-59.4462;-64.654;-67.4336;-59.789;-58.0934
-54.4807;-57.2162;-54.4807;-57.2162;-55.5407;-57.6637;-57.5748;-56.3646;-58.5326;-63.725;-66.5073;-58.9;-57.2162;-57.926;-60.5284;-61.1893;-48.8728;-53.024;-53.867;-56.3463;-58.5326;-56.4197;-62.2432;901;2000;-54.4807;-57.2162;-55.5407;-57.6637;-57.5748;-56.3646;-58.5326;-63.725;-66.5073;-58.9;-57.2162;-57.926;-60.5284;-61.1893;-48.8728;-53.024;-53.867;-56.3463;-58.5326;-56.4197;-62.2432;901;2000;-54.4807;-57.2162;-55.5407;-57.6637;-57.5748;-56.3646;-58.5326;-63.725;-66.5073;-58.9;-57.2162;-57.926;-60.5284;-61.1893;-48.8728;-53.024;-53.867;-56.3463;-58.5326;-56.4197;-62.2432;901;2000;-54.4807;-57.2162;-55.5407;-57.6637;-57.5748;-56.3646;-58.5326;901;2000;-54.4807;-57.2162;-55.5407;-57.6637;-57.5748;-56.3646;-58.5326;-63.725;-66.5073;-58.9;-57.2162;-57.926;-60.5284;-61.1893;-48.8728;-53.024;-53.867;-56.3463;-58.5326;-56.4197;-62.2432;901;2000;-54.4807;-57.2162;-55.5407;-57.6637;-57.5748;-56.3646;-58.5326;-63.725;-66.5073;-58.9;-57.2162;-57.926;-60.5284;-61.1893;-48.8728;-53.024;-53.867;-56.3463;-58.5326;-56.4197;-62.2432;901;2000;-54.4807;-57.2162;-55.5407;-57.6637;-57.5748;-56.3646;-58.5326;-63.725;-66.5073;901;2000;-54.4807;-57.2162;-55.5407;-57.6637;-57.5748;-56.3646;-58.5326;-63.725;-66.5073;-58.9;-57.2162;-57.926;-60.5284;-61.1893;-48.8728;-53.024;-53.867;-56.3463;-58.5326;-56.4197;-62.2432;901;2000;-54.4807;-57.2162;-55.5407;-57.6637;-57.5748;-56.3646;-58.5326;-63.725;-66.5073;-58.9;-57.2162;-57.926;-60.5284;-61.1893;-48.8728;-53.024;-53.867;-56.3463;-58.5326;-56.4197;-62.2432;901;2000;-54.4807;-57.2162;-55.5407;-57.6637;-57.5748;-56.3646;-58.5326;-63.725;-66.5073;-58.9;-57.2162
-53.625;-56.339;-53.625;-56.339;-54.662;-56.699;-56.619;-55.42;-57.619;-62.796;-65.581;-58.011;-56.339;-57.035;-59.608;-60.245;-48.068;-52.181;-53.024;-55.476;-57.619;-55.541;-61.319;1001;2000;-53.625;-56.339;-54.662;-56.699;-56.619;-55.42;-57.619;-62.796;-65.581;-58.011;-56.339;-57.035;-59.608;-60.245;-48.068;-52.181;-53.024;-55.476;-57.619;-55.541;-61.319;1001;2000;-53.625;-56.339;-54.662;-56.699;-56.619;-55.42;-57.619;-62.796;-65.581;-58.011;-56.339;-57.035;-59.608;-60.245;-48.068;-52.181;-53.024;-55.476;-57.619;-55.541;-61.319;1001;2000;-53.625;-56.339;-54.662;-56.699;-56.619;-55.42;-57.619;1001;2000;-53.625;-56.339;-54.662;-56.699;-56.619;-55.42;-57.619;-62.796;-65.581;-58.011;-56.339;-57.035;-59.608;-60.245;-48.068;-52.181;-53.024;-55.476;-57.619;-55.541;-61.319;1001;2000;-53.625;-56.339;-54.662;-56.699;-56.619;-55.42;-57.619;-62.796;-65.581;-58.011;-56.339;-57.035;-59.608;-60.245;-48.068;-52.181;-53.024;-55.476;-57.619;-55.541;-61.319;1001;2000;-53.625;-56.339;-54.662;-56.699;-56.619;-55.42;-57.619;-62.796;-65.581;1001;2000;-53.625;-56.339;-54.662;-56.699;-56.619;-55.42;-57.619;-62.796;-65.581;-58.011;-56.339;-57.035;-59.608;-60.245;-48.068;-52.181;-53.024;-55.476;-57.619;-55.541;-61.319;1001;2000;-53.625;-56.339;-54.662;-56.699;-56.619;-55.42;-57.619;-62.796;-65.581;-58.011;-56.339;-57.035;-59.608;-60.245;-48.068;-52.181;-53.024;-55.476;-57.619;-55.541;-61.319;1001;2000;-53.625;-56.339;-54.662;-56.699;-56.619;-55.42;-57.619;-62.796;-65.581;-58.011;-56.339
