V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;V28;V29;V30;V31;V32;V33;V34;V35;V36;V37;V38;V39;V40;V41;V42;V43;V44;V45;V46;V47;V48;V49;V50;V51;V52;V53;V54;V55;V56;V57;V58;V59;V60;V61;V62;V63;V64;V65;V66;V67;V68;V69;V70;V71;V72;V73;V74;V75;V76;V77;V78;V79;V80;V81;V82;V83;V84;V85;V86;V87;V88;V89;V90;V91;V92;V93;V94;V95;V96;V97;V98;V99;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;V133;V134;V135;V136;V137;V138;V139;V140;V141;V142;V143;V144;V145;V146;V147;V148;V149;V150;V151;V152;V153;V154;V155;V156;V157;V158;V159;V160;V161;V162;V163;V164;V165;V166;V167;V168;V169;V170;V171;V172;V173;V174;V175;V176;V177;V178;V179;V180;V181;V182;V183;V184;V185;V186;V187;V188;V189;V190;V191;V192;V193;V194
2.94146;1.83882;1.77018;1.76704;1.76691;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76705;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.76728;1.76729;1.76729;1.76729;1.76729;1.76729;1.76729;1.76733;1.76734;1.76734;1.76734;1.76734;1.76734;1.76737;1.76873;1.83305;1.77;1.76743;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76737;1.75766;2.08403;2.09322;1.77865;1.76773;1.76735;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76733;1.76755;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756
1.76693;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76705;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.76728;1.76729;1.76729;1.76729;1.76729;1.76729;1.76733;1.76734;1.76734;1.76734;1.76734;1.76737;1.76858;1.82531;1.87297;1.80292;1.76876;1.76739;1.76734;1.76734;1.76734;1.76738;1.7563;1.88175;1.7611;1.93337;1.77914;1.85318;2.09711;2.30322;2.23845;1.74485;1.76655;1.76731;1.76733;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76733;1.76755;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756
1.76701;1.76691;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76705;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.76728;1.76729;1.76729;1.76729;1.76729;1.76729;1.76733;1.76734;1.76734;1.76734;1.76734;1.76737;1.76873;1.83305;1.77;1.76743;1.76734;1.76734;1.76701;1.8514;1.76952;1.95786;2.28375;2.26624;2.16062;2.22105;2.25445;2.27125;2.08267;2.17902;2.24614;1.97789;1.77464;1.76759;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76733;1.76755;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756
1.76701;1.76699;1.76691;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76705;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.76728;1.76729;1.76729;1.76729;1.76729;1.76733;1.76734;1.76734;1.76737;1.76873;1.83305;1.77;1.76743;1.76734;1.76733;1.76749;1.72711;2.14667;2.1201;1.94371;2.16139;2.31709;2.34406;2.19869;2.27518;2.23776;2.27609;2.15657;2.21788;2.20235;1.82735;1.76942;1.76741;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76733;1.76755;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756
1.76701;1.76699;1.76699;1.76691;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76705;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.76704;1.76843;1.83414;1.83709;1.85119;1.77039;1.7674;1.76729;1.76729;1.76729;1.76733;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76691;1.87783;2.01132;2.20954;2.27675;2.11715;1.9935;2.07073;2.07927;2.16895;2.15728;2.18616;2.17938;2.17662;2.16751;2.18112;1.82237;1.76925;1.7674;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76733;1.76755;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756
1.76701;1.76699;1.76699;1.76691;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76705;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.76702;1.76766;1.79836;1.76827;1.76704;1.767;1.76728;1.76729;1.76729;1.76729;1.76729;1.76733;1.76734;1.76737;1.76877;1.83443;1.8357;1.77009;1.76744;1.76665;1.94639;2.09969;2.02463;2.01241;2.02202;2.09808;2.0912;2.07394;2.02884;1.94622;2.1865;2.23721;2.14637;2.23147;2.17686;1.95677;1.73512;1.76622;1.7673;1.76733;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76733;1.76755;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756
1.76701;1.76699;1.76699;1.76699;1.76691;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76705;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.76702;1.76767;1.79868;1.76828;1.76704;1.767;1.76728;1.76729;1.76729;1.76729;1.76733;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76733;1.76756;1.70991;2.06004;2.14731;2.10661;2.07201;1.96856;2.02137;2.07732;2.16095;1.95713;2.0421;2.05071;2.14681;2.03447;2.168;2.13711;2.0746;1.75999;1.76708;1.76733;1.7675;1.72544;1.78458;1.71162;1.7654;1.76727;1.76733;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76733;1.76755;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756
1.76701;1.76699;1.76699;1.76699;1.76699;1.76691;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76705;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.76728;1.76729;1.76729;1.76733;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76726;1.78729;1.98601;1.95167;2.04882;2.00536;2.00396;2.00252;2.13352;2.23829;2.14898;1.81125;1.96545;2.14074;2.13661;2.07914;2.14127;2.12607;1.96431;1.77433;1.72795;1.98949;2.05676;1.89082;1.74597;1.76659;1.76731;1.76733;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76738;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756
1.76701;1.76699;1.76699;1.76699;1.76699;1.76699;1.76691;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76705;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.76703;1.76802;1.81529;1.76895;1.76707;1.767;1.767;1.767;1.767;1.76728;1.76729;1.76729;1.76733;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76684;1.8971;1.98437;1.84499;1.94837;1.90038;1.98432;2.04201;2.05252;1.99844;2.07855;2.02824;2.03883;2.09389;2.07841;2.06664;2.18051;2.21166;2.17717;1.95526;1.84464;2.05959;1.99887;1.85045;1.71388;1.76553;1.76727;1.76733;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76738;1.76739;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756
1.76701;1.76699;1.76699;1.76699;1.76699;1.76699;1.76691;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.7669;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76704;1.76705;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.767;1.76728;1.76729;1.76729;1.76735;1.76779;1.78865;1.76926;1.81699;1.835;1.77007;1.7673;1.80246;1.90722;2.02611;2.0874;2.06007;2.11524;2.07158;2.17576;2.15285;2.13027;2.05724;2.04213;1.98282;2.01342;1.91312;2.131;2.17877;2.12741;2.10285;2.08492;1.94008;1.74521;1.76619;1.86519;1.82484;1.76933;1.7674;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76734;1.76738;1.76739;1.76739;1.76739;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756;1.76756
