V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;V28;V29;V30;V31;V32;V33;V34;V35;V36;V37;V38;V39;V40;V41;V42;V43;V44;V45;V46;V47;V48;V49;V50;V51;V52;V53;V54;V55;V56;V57;V58;V59;V60;V61;V62;V63;V64;V65;V66;V67;V68;V69;V70;V71;V72;V73;V74;V75;V76;V77;V78;V79;V80;V81;V82;V83;V84;V85;V86;V87;V88;V89;V90;V91;V92;V93;V94;V95;V96;V97;V98;V99;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;V133;V134;V135;V136;V137;V138;V139;V140;V141;V142;V143;V144;V145;V146;V147;V148;V149;V150;V151;V152;V153;V154;V155;V156;V157;V158;V159;V160;V161;V162;V163;V164;V165;V166;V167;V168;V169;V170;V171;V172;V173;V174;V175;V176;V177;V178;V179;V180;V181;V182;V183;V184;V185;V186;V187;V188;V189;V190;V191;V192;V193;V194
2.16335;1.76075;1.7506;1.75035;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.753;1.753;1.753;1.753;1.753;1.753;1.753;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75336;1.7539;1.77537;1.75347;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.34924;1.34164;1.50022;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492
1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.753;1.753;1.753;1.753;1.753;1.753;1.75335;1.75335;1.75335;1.75335;1.75335;1.75336;1.75384;1.77291;1.78814;1.76405;1.75341;1.75335;1.75335;1.75335;1.75335;1.75335;1.23553;1.35122;1.13319;1.27334;1.18729;1.28657;1.36092;1.11541;1.37031;0.997671;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492
1.75093;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.753;1.753;1.753;1.753;1.753;1.753;1.75335;1.75335;1.75335;1.75335;1.75335;1.75336;1.7539;1.77537;1.75347;1.75335;1.75335;1.75335;1.75335;1.38104;1.75335;1.30742;1.17045;1.21917;1.18757;1.17831;1.12323;1.13497;1.21744;1.1652;1.08599;1.40481;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492
1.75093;1.75093;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.753;1.753;1.753;1.753;1.753;1.75335;1.75335;1.75335;1.75336;1.7539;1.77537;1.75347;1.75335;1.75335;1.75335;1.75335;0.997671;1.28954;1.26032;1.287;1.18523;1.07793;1.06517;1.1392;1.16148;1.09898;1.08137;1.15246;1.08901;1.08082;1.3701;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492
1.75093;1.75093;1.75093;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75102;1.75157;1.77354;1.77378;1.77835;1.75117;1.75301;1.753;1.753;1.753;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.33243;1.29885;1.17649;1.11049;1.32072;1.21644;1.13736;1.11265;1.14898;1.12671;1.12349;1.06291;1.16908;1.14284;1.09666;1.32118;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492
1.75093;1.75093;1.75093;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75102;1.75127;1.76149;1.75107;1.75101;1.75101;1.753;1.753;1.753;1.753;1.753;1.75335;1.75335;1.75336;1.75391;1.77592;1.77549;1.75347;1.75335;1.75335;1.41868;1.20663;1.21896;1.28264;1.2086;1.15227;1.19645;1.16636;1.26555;1.17596;1.08131;1.08148;1.09641;1.12301;1.07885;1.36638;0.997671;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492
1.75093;1.75093;1.75093;1.75093;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75102;1.75128;1.7616;1.75107;1.75101;1.75101;1.753;1.753;1.753;1.753;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.19569;1.22103;1.14984;1.14681;1.18531;1.12956;1.13675;1.22212;1.14591;1.18073;1.30747;1.21635;1.12004;1.15349;1.09572;1.08371;1.11368;1.30575;1.75335;1.75335;1.75335;1.1894;1.25907;1.19569;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492
1.75093;1.75093;1.75093;1.75093;1.75093;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.753;1.753;1.753;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.35585;1.22205;1.23887;1.20169;1.20695;1.10639;1.16096;1.13537;1.14343;1.28192;1.16751;1.22916;1.19588;1.15245;1.23888;1.16663;1.14334;1.26799;1.75335;0.997671;1.25393;1.11462;1.18098;1.2239;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.7537;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492
1.75093;1.75093;1.75093;1.75093;1.75093;1.75093;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75102;1.75141;1.76715;1.7511;1.75101;1.75101;1.75101;1.75101;1.75101;1.753;1.753;1.753;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.2969;1.21379;1.31105;1.25933;1.1919;1.13665;1.2526;1.14403;1.20079;1.24084;1.19451;1.07488;1.1095;1.17784;1.25;1.25398;1.08039;1.12519;1.20692;1.19884;1.08684;1.16905;1.27507;1.19569;1.16965;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.7537;1.7537;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492
1.75093;1.75093;1.75093;1.75093;1.75093;1.75093;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75034;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75133;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.75101;1.753;1.753;1.753;1.75335;1.75353;1.76049;1.75381;1.77006;1.77546;1.75347;1.75335;1.47207;1.26892;1.20791;1.20846;1.21179;1.16891;1.14953;1.18287;1.14632;1.28635;1.14209;1.15153;1.11595;1.22133;1.2225;1.1282;1.15112;1.13132;1.18225;1.13561;1.25967;1.14203;1.75335;1.28605;1.18326;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.75335;1.7537;1.7537;1.7537;1.7537;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492;1.75492
