Jour et mois ;Annee;Achery;Rennes;LA ROCHE SUR YON;DAX;PEYREHORADE;SAINT-MARTIN-DE-HINX;ANCENIS;NANTES-BOUGUEIS;MONTOIR/ST ZAIRE;NORT SUR ERDRE;DERVAL;LA CHAPELLE-SAINT-SAUVEUR;ANGERS;SAUMUR;CONDE SUR VIRE;SAINT-HILAIRE DU HARCOUET;MAYENNE;ARGENTRE;ETRONNIER AERODROME DE LAVAL;CHATEAU-GONTIER;LORIENT -QUEVEN
101;2000;-61.3263;-64.2338;-62.5703;-65.3813;-65.2212;-63.9214;-65.8414;-71.157;-73.9177;-66.012;-64.2338;-65.054;-67.8916;-68.7437;-55.3112;-59.768;-60.611;-63.3087;-65.8414;-63.4493;-69.6368
201;2000;-60.4706;-63.3566;-61.6916;-64.4166;-64.2654;-62.9768;-64.9278;-70.228;-72.9914;-65.123;-63.3566;-64.163;-66.9712;-67.7994;-54.5064;-58.925;-59.768;-62.4384;-64.9278;-62.5706;-68.7126
301;2000;-59.6149;-62.4794;-60.8129;-63.4519;-63.3096;-62.0322;-64.0142;-69.299;-72.0651;-64.234;-62.4794;-63.272;-66.0508;-66.8551;-53.7016;-58.082;-58.925;-61.5681;-64.0142;-61.6919;-67.7884
401;2000;-58.7592;-61.6022;-59.9342;-62.4872;-62.3538;-61.0876;-63.1006;-68.37;-71.1388;-63.345;-61.6022;-62.381;-65.1304;-65.9108;-52.8968;-57.239;-58.082;-60.6978;-63.1006;-60.8132;-66.8642
501;2000;-57.9035;-60.725;-59.0555;-61.5225;-61.398;-60.143;-62.187;-67.441;-70.2125;-62.456;-60.725;-61.49;-64.21;-64.9665;-52.092;-56.396;-57.239;-59.8275;-62.187;-59.9345;-65.94
601;2000;-57.0478;-59.8478;-58.1768;-60.5578;-60.4422;-59.1984;-61.2734;-66.512;-69.2862;-61.567;-59.8478;-60.599;-63.2896;-64.0222;-51.2872;-55.553;-56.396;-58.9572;-61.2734;-59.0558;-65.0158
701;2000;-56.1921;-58.9706;-57.2981;-59.5931;-59.4864;-58.2538;-60.3598;-65.583;-68.3599;-60.678;-58.9706;-59.708;-62.3692;-63.0779;-50.4824;-54.71;-55.553;-58.0869;-60.3598;-58.1771;-64.0916
801;2000;-55.3364;-58.0934;-56.4194;-58.6284;-58.5306;-57.3092;-59.4462;-64.654;-67.4336;-59.789;-58.0934;-58.817;-61.4488;-62.1336;-49.6776;-53.867;-54.71;-57.2166;-59.4462;-57.2984;-63.1674
901;2000;-54.4807;-57.2162;-55.5407;-57.6637;-57.5748;-56.3646;-58.5326;-63.725;-66.5073;-58.9;-57.2162;-57.926;-60.5284;-61.1893;-48.8728;-53.024;-53.867;-56.3463;-58.5326;-56.4197;-62.2432
1001;2000;-53.625;-56.339;-54.662;-56.699;-56.619;-55.42;-57.619;-62.796;-65.581;-58.011;-56.339;-57.035;-59.608;-60.245;-48.068;-52.181;-53.024;-55.476;-57.619;-55.541;-61.319
1101;2000;-52.7693;-55.4618;-53.7833;-55.7343;-55.6632;-54.4754;-56.7054;-61.867;-64.6547;-57.122;-55.4618;-56.144;-58.6876;-59.3007;-47.2632;-51.338;-52.181;-54.6057;-56.7054;-54.6623;-60.3948
1201;2000;-51.9136;-54.5846;-52.9046;-54.7696;-54.7074;-53.5308;-55.7918;-60.938;-63.7284;-56.233;-54.5846;-55.253;-57.7672;-58.3564;-46.4584;-50.495;-51.338;-53.7354;-55.7918;-53.7836;-59.4706
1301;2000;-51.0579;-53.7074;-52.0259;-53.8049;-53.7516;-52.5862;-54.8782;-60.009;-62.8021;-55.344;-53.7074;-54.362;-56.8468;-57.4121;-45.6536;-49.652;-50.495;-52.8651;-54.8782;-52.9049;-58.5464
1401;2000;-50.2022;-52.8302;-51.1472;-52.8402;-52.7958;-51.6416;-53.9646;-59.08;-61.8758;-54.455;-52.8302;-53.471;-55.9264;-56.4678;-44.8488;-48.809;-49.652;-51.9948;-53.9646;-52.0262;-57.6222
