Ville;Lambert2_x;Lambert2_y
Rennes;301000;2353800
LAROCHESURYON;312100;2192400
DAX;326600;1862000
PEYREHORADE;321900;1844200
SAINT-MARTIN-DE-HINX;308400;1848900
ANCENIS;334600;2269600
BEAUVOIR-SUR-NIORT;383100;2134900
LEZAY;419200;2143200
SURIN;385000;2166100
SAINTE-GEMME-LA-PLAINE;335300;2170700
CHANTONNAY;341000;2193000
Boigneville;602600;2370700
Sours;545200;2379300
NANCY;883200;2417400
ORLEANS;567700;2322600
PARIS;600600;2429100
POITIERS;446600;2177600
TOULOUSE;527700;1845100
Montpellier;724700;1846600
Caen;402700;2468600
Brest;95200;2398700
Montcuq;510100;1927000
Cognac;392400;2080800
Mont-de-marsan;371800;1880700
Chartres;537200;2383400
Trappes;575400;2419900
Bourges;604500;2231500
Lille;651100;2626600
Reims;723200;2475500
Macon;792200;2148200
Montelimar;791900;1953800
Langres;824200;2322400
